ad_url;price;size_room;size_wg;area;street_address;full_address;lat_lng
"<a href=""/wg-zimmer-in-Berlin-Marzahn.6910394.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/26/c02ed2af7daa389296e9d3781666cddff95b3014500822a1be3600a0a427bc79_photo_2020_07_03_00_15_36.small.jpg);""></a>";350;15.0;3;Marzahn;WoerlitzerStr.22-32;WoerlitzerStr.22-32 Marzahn Berlin;(52.499066, 13.432769)
"<a href=""/wg-zimmer-in-Berlin-Wedding.5382398.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/27/6d5663a79c731268c237baf81a65934b03dd115d026d535e6340af7b1ba2c693_IMG_3362.small.jpg);""></a>";340;21.0;4;Wedding;Gesundbrunnen;Gesundbrunnen Wedding Berlin;(52.5523454, 13.381467)
"<a href=""/wg-zimmer-in-Berlin-Koepenick.7581149.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2019/36/d861fc9e71db3cd35def2f02d64de83bb1e881a3056cdcb1fd9d5c7736663944_Zimmer.small.png);""></a>";500;12.0;2;Koepenick;Lindenstr.40;Lindenstr.40 Koepenick Berlin;(50.4425004, 7.6520993)
"<a href=""/wg-zimmer-in-Berlin-Mitte.7603858.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2019/38/ab1616b714a3a9ace7d566d9f06702962cee8f466256faaab566d9baabd47c9d_WhatsApp_Image_2019_09_26_at_18.07.16__1_.small.jpeg);""></a>";750;24.0;3;Mitte;Karl-Marx-Allee19;Karl-Marx-Allee19 Mitte Berlin;(52.5213694, 13.4208051)
"<a href=""/wg-zimmer-in-Berlin-Wilmersdorf.4135765.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/23/6521a6dd8aeb3760f0394c88efc337ed8195fce8ed21b49c2be343e5ef406cd7_Zi_2a_2_Blick_vor_der_T_r.small.JPG);""></a>";479;27.0;9;Wilmersdorf;NassauischeStr.36;NassauischeStr.36 Wilmersdorf Berlin;(52.4873589, 13.3263076)
"<a href=""/wg-zimmer-in-Berlin-Kreuzberg.8322846.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/41/42b7d2c960635a753223c315b7e73155a22f74704a64ca04b16a84a4a42e6bf2_2.small.jpg);""></a>";490;17.0;2;Kreuzberg;Admiralstr.34;Admiralstr.34 Kreuzberg Berlin;(52.49757, 13.4170901)
"<a href=""/wg-zimmer-in-Berlin-Neukoelln.7149274.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/41/3abb439c82f7e3ac821533850047daaaba05b402eca609abf268e4205b353b83_20190303_143113klein.small.jpg);""></a>";400;15.0;2;Neukoelln;H.N.;H.N. Neukoelln Berlin;(15.199999, -86.241905)
"<a href=""/wg-zimmer-in-Berlin-Neukoelln.8387821.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/46/6361e7cafca2980c54f039723b9ebc61fb9f28e9282667c3f28eadb1fab959fa_7B566826_657C_4B68_89EB_18AA66F3F15D.small.jpeg);""></a>";360;16.0;2;Neukoelln;HarzerStrasse;HarzerStrasse Neukoelln Berlin;(52.4850731, 13.448884)
"<a href=""/wg-zimmer-in-Berlin-Kreuzberg.8396711.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/47/b1c2e5961308c8fb262219ee66305695dceac5298639d323435af8c3cbe5439c_2.small.png);""></a>";530;16.0;3;Kreuzberg;Gitschiner;Gitschiner Kreuzberg Berlin;(52.4984429, 13.4016857)
"<a href=""/wg-zimmer-in-Berlin-Kreuzberg.7870908.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/35/86841fbbdd3c9ecd2a4090d06e38db50edd87fc9872b248db4c70212b8e2a381_Stock_4_zimmer_Johanna_15qm.small.jpg);""></a>";440;15.0;3;Kreuzberg;GoerlitzerStr.;GoerlitzerStr. Kreuzberg Berlin;(52.4972641, 13.438342)
"<a href=""/wg-zimmer-in-Berlin-Moabit.7141688.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2019/05/595b3fe7e2b4ad11c564078bc1ba6d678e9b4626cfaba676db43bec12f52c85e_DSCN8197.small.JPG);""></a>";500;14.0;2;Moabit;5minfromU-Hansaplatz;5minfromU-Hansaplatz Moabit Berlin;(52.51831, 13.3416456)
"<a href=""/wg-zimmer-in-Berlin-Prenzlauer-Berg.7953145.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/16/e5d9513fb318c42aa14fc025d8dc877dcdc0afad486da730d9ab5c8cb0758838_158754235745645675279.small.JPEG);""></a>";670;30.0;4;PrenzlauerBerg;Kastanienallee3;Kastanienallee3 PrenzlauerBerg Berlin;(53.99025, 10.79835)
"<a href=""/wg-zimmer-in-Berlin-Friedrichshain-Kreuzberg.8168010.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/31/a3d7749322e5cd0338e0c70430f37ebfe4dd5f8496a9b566232d22c1a460f000_zimmer_klein_15qm.small.jpg);""></a>";440;15.0;3;Friedrichshain-Kreuzberg;GoerlitzerStr.;GoerlitzerStr. Friedrichshain-Kreuzberg Berlin;(52.4972641, 13.438342)
"<a href=""/wg-zimmer-in-Berlin-Moabit.3290151.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/40/cc081177095861d41c6a2f9440cbd7feaaf4b3805bce42bf1e60bcabc264841f_DSCN9436.small.JPG);""></a>";500;15.0;2;Moabit;nearS-Bellvue/U9-Hansap...;nearS-Bellvue/U9-Hansap... Moabit Berlin;(47.6101497, -122.2015159)
"<a href=""/wg-zimmer-in-Berlin-Kreuzberg.8374181.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/45/17d77d41e3118c5c5d5a89c384f37b84d4f3fc67a0d54df177a93abfe8481e1b_Download__8_.small.png);""></a>";650;26.0;2;Kreuzberg;SkalizerStrasse46;SkalizerStrasse46 Kreuzberg Berlin;(52.4990202, 13.4301468)
"<a href=""/wg-zimmer-in-Berlin-Lichterfelde-Steglitz.8396659.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/47/280af4d261049717e91cbb46ac46748748f3bd829bdbc6e821c6f6d0ac9695b9_5019EA65_FACD_4673_9EDD_E9DFF4DA5C0F.small.jpeg);""></a>";320;14.0;3;LichterfeldeSteglitz;Strasse;Strasse LichterfeldeSteglitz Berlin;(45.5660605, -73.6437887)
"<a href=""/wg-zimmer-in-Berlin-Prenzlauer-Berg.6790587.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/17/8758ad48d74fa5dcf9c91a252ef01fa40f9354e6709a9b7be15d1424809013f1_20200427_173544.small.jpg);""></a>";29;13.0;2;PrenzlauerBerg;BeimKollwitzplatz;BeimKollwitzplatz PrenzlauerBerg Berlin;(52.5363177, 13.4169339)
"<a href=""/wg-zimmer-in-Berlin-Mahlsdorf.7662115.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2019/44/19d07ca293418fdc18e7e0ec372251a3496d37c5da3a38ebe91e4608b9962d10_20191108_131312.small.jpg);""></a>";500;25.0;4;Mahlsdorf;Birkensteinweg13;Birkensteinweg13 Mahlsdorf Berlin;(52.5215144, 13.6488884)
"<a href=""/wg-zimmer-in-Berlin-Neukoelln.4336150.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2019/00/f09063c43b173ffff52d06fb715e35c79b873c1a9d204c13e9216a2993114faa_3.small.jpg);""></a>";403;20.0;2;Neukoelln;Silbersteinstrasse88;Silbersteinstrasse88 Neukoelln Berlin;(52.46632, 13.42889)
"<a href=""/wg-zimmer-in-Berlin-Schoeneberg.8386507.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/46/9886339e6e00329fa56cf3ec8248e9a6adfca3ed97d93e11525dde86f91f3b83_Zimmer_1.small.jpg);""></a>";450;18.0;3;Schoeneberg;Willmanndamm;Willmanndamm Schoeneberg Berlin;(52.4905804, 13.3635971)
"<a href=""/wg-zimmer-in-Berlin-Friedrichshain.8238808.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/36/dd9534309a32e47c9a9c8d731070ca1c9ae54c47a46325595329fa03164fc9e6_WG_Pic_4.small.jpg);""></a>";465;20.0;3;Friedrichshain;Muehsamstrasse73;Muehsamstrasse73 Friedrichshain Berlin;(52.5214858, 13.4540605)
"<a href=""/wg-zimmer-in-Berlin-Berlin.8315433.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/40/ebbb9739fea81685b466ed74ad06fbfbba764cc44f6897ca54d6d96ccb8db71b_160232591824024072999.small.JPEG);""></a>";14;10.0;3;;Propststrasse/Spandauer...;Propststrasse/Spandauer...  Berlin;(52.51668249999999, 13.4064736)
"<a href=""/wg-zimmer-in-Berlin-Neukoelln.8393815.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/47/046366f1f3d9ffc92a9f58be743fa547995fd9490774f7c62006784525310dee_IMG_20190714_205107.small.jpg);""></a>";430;20.0;3;Neukoelln;Rungiusstrasse12;Rungiusstrasse12 Neukoelln Berlin;(None, None)
"<a href=""/wg-zimmer-in-Berlin-Tempelhof.5472543.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/46/32e118de64ad03948e88d23e56812bfffb84b69d5db3937efef5be8102d77fc9_Bildschirmfoto_2020_11_18_um_13.25.46.small.png);""></a>";560;22.0;2;Tempelhof;Friedrich-Wilhelm-Strasse99;Friedrich-Wilhelm-Strasse99 Tempelhof Berlin;(52.4574947, 13.3899789)
"<a href=""/wg-zimmer-in-Berlin-Neukoelln.3798890.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2013/12/83be229a37988900_kueche.sized.jpg);""></a>";480;40.0;3;Neukoelln;Flughafenstrasse;Flughafenstrasse Neukoelln Berlin;(52.4810829, 13.4271968)
"<a href=""/wg-zimmer-in-Berlin-Kreuzberg.7640406.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2019/41/1944021384e2fcf93c9c7ff07f917e3cf9739fb19bb7fec0c5cf6c17c66c1e62_DSC00956.small.JPG);""></a>";620;25.0;2;Kreuzberg;OppelnerStrasse;OppelnerStrasse Kreuzberg Berlin;(52.4992537, 13.4403048)
"<a href=""/wg-zimmer-in-Berlin-Mitte.8216561.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/34/365c6c7363c57a38e06af9bd4d7577f4471fce44c41f64bd629aeb1916c042db_159872187062562639516.small.JPEG);""></a>";550;25.0;2;Mitte;Rostockerstr.39;Rostockerstr.39 Mitte Berlin;(52.5300447, 13.3264648)
"<a href=""/wg-zimmer-in-Berlin-Charlottenburg.8391569.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/47/1d969ecaf6ec35d4a59a370f47bf8b0098c8fe0b0df1efcbd9ace916a12d3805_160615976721721766403.small.JPEG);""></a>";430;16.0;2;Charlottenburg;Popitzweg8;Popitzweg8 Charlottenburg Berlin;(52.53720999999999, 13.27712)
"<a href=""/wg-zimmer-in-Berlin-Zehlendorf.8262658.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/40/fa80e8a177a2706d56bd160858b0d5a5cb10e74a9bd67260f1373dc3f85d7eee_Freies_Zimmer.small.JPG);""></a>";480;15.0;2;Zehlendorf;Hampstaedstrasse48;Hampstaedstrasse48 Zehlendorf Berlin;(None, None)
"<a href=""/wg-zimmer-in-Berlin-Kreuzberg.8396578.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/47/d56a3c9706fdd35286c94543332dfc02194bc4c2976b5dd6b9897552b6720205_5632ae5e_d950_4863_a25b_3b8df82b517c.small.jpg);""></a>";380;14.0;2;Kreuzberg;Urbansrasse96;Urbansrasse96 Kreuzberg Berlin;(52.4894555, 13.4219125)
"<a href=""/wg-zimmer-in-Berlin-Charlottenburg.8396511.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/47/52d6330684c2cbe8ea457ff034c6e7fc46a63159c74323482d653c8d7396fabf_Zimmer_1.small.jpeg);""></a>";600;25.0;3;Charlottenburg;Kaiser-Friedrich-Strasse;Kaiser-Friedrich-Strasse Charlottenburg Berlin;(52.5126102, 13.3012527)
"<a href=""/wg-zimmer-in-Berlin-Friedrichshain.7915591.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/47/768d9c19e1594d4cc52dc1021441b639d2241c0994eb2eec648027c0fa0b18da_160642171163863891793.small.JPEG);""></a>";460;10.0;2;Friedrichshain;GruenbergerStr.25;GruenbergerStr.25 Friedrichshain Berlin;(52.5127526, 13.451791)
"<a href=""/wg-zimmer-in-Berlin-Nikolassee.8396527.html"" style=""background-image: url(https://www.wg-gesucht.de/img/placeholder/dummy_small.png);""></a>";440;29.0;3;Nikolassee;Katteweg;Katteweg Nikolassee Berlin;(52.4190794, 13.2014696)
"<a href=""/wg-zimmer-in-Berlin-Weissensee.5084334.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/45/7f63c65bfabc5dc22db294f86209328b5f9530687dd5cd3ece68a1519a885478_photo_2020_11_14_19_44_07.small.jpg);""></a>";400;25.0;2;Weissensee;Roelckestr.;Roelckestr. Weissensee Berlin;(52.5578462, 13.4524149)
"<a href=""/wg-zimmer-in-Berlin-Neukoelln.8396514.html"" style=""background-image: url(https://www.wg-gesucht.de/img/placeholder/dummy_small.png);""></a>";360;12.0;2;Neukoelln;Lıchtenraderstr.;Lıchtenraderstr. Neukoelln Berlin;(52.475935, 13.4205588)
"<a href=""/wg-zimmer-in-Berlin-Friedrichshain--Kreuzberg.6358956.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/32/96ad92ee0df6c0dedf4a01b7147abf3fa615e1b02e332da058d0c6c12e5af6d4_159716509478378395150.small.JPEG);""></a>";450;15.0;2;Friedrichshain/Kreuzberg;AmTreptowerPark17;AmTreptowerPark17 Friedrichshain/Kreuzberg Berlin;(52.4894304, 13.4601855)
"<a href=""/wg-zimmer-in-Berlin-Friedrichshain.8395577.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/47/9abc6fbda45b9db88179fecaec1bc14afb26a27d51642db695755e7e40944722_160638660697297238621.small.JPEG);""></a>";380;80.0;4;Friedrichshain;12356;012356 Friedrichshain Berlin;(34.2067473, -103.3299532)
"<a href=""/wg-zimmer-in-Berlin-Mitte.8396504.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/47/7a09fb555a475dd2a86803d4770cfb1fe052e988adf9195f2139ef5dc2da732a_wg2.small.png);""></a>";620;16.0;2;Mitte;Gipsstrasse;Gipsstrasse Mitte Berlin;(52.5267061, 13.4014176)
"<a href=""/wg-zimmer-in-Berlin-Koepenick.4691030.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2018/40/63739c5c00659c57d7a12b497e2390f21f31db146f1f2ebf3a3b63df7d02c3d9_4910f18699c3722884c23add30f2cb882e093e29.small.jpg);""></a>";390;16.0;2;Koepenick;RudowerStr.26;RudowerStr.26 Koepenick Berlin;(52.44062, 13.4572301)
"<a href=""/wg-zimmer-in-Berlin-Berlin.8274027.html"" style=""background-image: url(https://www.wg-gesucht.de/img/placeholder/dummy_small.png);""></a>";300;25.0;3;;Lyckallee16;Lyckallee16  Berlin;(52.50641, 13.25252)
"<a href=""/wg-zimmer-in-Berlin-Neukoelln.8396448.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/47/1603011bfbc516660a1581f90c9e1a7056b974194078e235e5b7bcd02274f535_160641843165665670760.small.JPEG);""></a>";390;13.0;2;Neukoelln;Walterstrasse15;Walterstrasse15 Neukoelln Berlin;(48.1793667, 11.5957943)
"<a href=""/wg-zimmer-in-Berlin-Friedrichshain.8393113.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/47/0e6e1283c55a66d0e5b03a152532111eb260e89fb275ab29dab9d5b9a745bb5e_IMG_0017.small.jpg);""></a>";593;21.0;3;Friedrichshain;Heidenfeldstrasse,15;Heidenfeldstrasse,15 Friedrichshain Berlin;(52.5259504, 13.4503892)
"<a href=""/wg-zimmer-in-Berlin-Berlin.8396469.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/47/42bf9f666a83a34b88a9908cf52e525ddf6ae0919f4bcba65bf7b9c66c572dba_120544220_376278986741913_3728437137491136958_o.small.jpg);""></a>";450;20.0;4;;Kuglerstrasse16;Kuglerstrasse16  Berlin;(52.55229199999999, 13.4169547)
"<a href=""/wg-zimmer-in-Berlin-Oberschoeneweide.8396443.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/47/76f5357089c95cf7071a93ada078ce0e25106c448d96d674f7eae4c5cfac0743_IMG_20201120_173805.small.jpg);""></a>";570;21.0;3;Oberschoeneweide;Wilhelminenhofstr5;Wilhelminenhofstr5 Oberschoeneweide Berlin;(52.4633946, 13.5107134)
"<a href=""/wg-zimmer-in-Berlin-Oberschoeneweide.8396443.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/47/76f5357089c95cf7071a93ada078ce0e25106c448d96d674f7eae4c5cfac0743_IMG_20201120_173805.small.jpg);""></a>";570;21.0;3;Oberschoeneweide;Wilhelminenhofstr5;Wilhelminenhofstr5 Oberschoeneweide Berlin;(52.4633946, 13.5107134)
"<a href=""/wg-zimmer-in-Berlin-Friedrichshain.5787070.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/12/7c41937e542a6f1ac053a98f1737dae0974e0f3d605a49c21d2ab77261992e31_IMG_20200211_190324.small.jpg);""></a>";600;25.0;2;Friedrichshain;Kopernikusstrasse;Kopernikusstrasse Friedrichshain Berlin;(52.5105815, 13.4526432)
"<a href=""/wg-zimmer-in-Berlin-Reinickendorf.8396462.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/47/9c17f101823c45e4495f2c016c430979059974365bacc24004d421bce4fc8819_11.small.jpg);""></a>";450;16.0;4;Reinickendorf;HeidenheimerStr.,24;HeidenheimerStr.,24 Reinickendorf Berlin;(48.4081588, 10.0012259)
"<a href=""/wg-zimmer-in-Berlin-Prenzlauer-Berg.8389923.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/46/d781fb7f4dade7aad313eae844af1d897c8c588d9c4374c2d9eda7be053dbcee_20201122_214819.small.jpg);""></a>";450;13.0;2;PrenzlauerBerg;StahlheimerStr.19a;StahlheimerStr.19a PrenzlauerBerg Berlin;(52.5514631, 13.4231848)
"<a href=""/wg-zimmer-in-Berlin-Prenzlauer-Berg.8396244.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/47/81b691d345eaa1d6efd8404d700b59e4c4cac1c723cac7f6aa0b1dc21726e492_Ystader_Wohnzimmer_2.small.jpg);""></a>";550;15.0;7;PrenzlauerBerg;YstaderStr.10;YstaderStr.10 PrenzlauerBerg Berlin;(52.5490332, 13.4042126)
"<a href=""/wg-zimmer-in-Berlin-Moabit.8396230.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/47/11de70e2aadb859a139da515881c7345c02f5e0e53caf671b4c3c0c573f8ad25_Zimmer_m_bliert2.small.jpg);""></a>";490;9.0;2;Moabit;Spenerstr.10;Spenerstr.10 Moabit Berlin;(52.5221588, 13.3529295)
"<a href=""/wg-zimmer-in-Berlin-Hellersdorf.5555422.html"" style=""background-image: url(https://www.wg-gesucht.de/img/placeholder/dummy_small.png);""></a>";275;12.0;3;Hellersdorf;Louis-LewinStr.;Louis-LewinStr. Hellersdorf Berlin;(52.5373847, 13.6205101)
"<a href=""/wg-zimmer-in-Berlin-Kreuzberg.7814818.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/04/fe7188c760485ba920c253990646c430701e361f2c95f0bb5a606dba4daa3f73_Image__2_.small.jpeg);""></a>";300;11.0;3;Kreuzberg;Bergfriedstrasse;Bergfriedstrasse Kreuzberg Berlin;(52.5004572, 13.4111594)
"<a href=""/wg-zimmer-in-Berlin-Kreuzberg.8394742.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/47/2188a00d5a379f22931957f188b789455f5abf193727f06e7553b020ebd3ffce_WhatsApp_Image_2020_11_25_at_18.57.47.small.jpeg);""></a>";300;11.0;3;Kreuzberg;Bergfriedstrasse;Bergfriedstrasse Kreuzberg Berlin;(52.5004572, 13.4111594)
"<a href=""/wg-zimmer-in-Berlin-Lichtenberg.8375864.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/45/f102b60889b457b3e584aaa3443b1e7700fd670906cdb1fdb9d813f6a567701a_20201111_210356_1_.small.jpg);""></a>";500;20.0;3;Lichtenberg;FrankfurterAllee271;FrankfurterAllee271 Lichtenberg Berlin;(52.51115, 13.50295)
"<a href=""/wg-zimmer-in-Berlin-Charlottenburg.8396354.html"" style=""background-image: url(https://www.wg-gesucht.de/img/placeholder/dummy_small.png);""></a>";450;20.0;4;Charlottenburg;Kantstrasse139;Kantstrasse139 Charlottenburg Berlin;(52.5058152, 13.318681)
"<a href=""/wg-zimmer-in-Berlin-Kreuzberg.8377726.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/45/4fb40cb46ceb1d941a83e3fb4f3937b1d83a56b430d7583dd39c3e10fca777ce_gggggggggggggggggggghh.small.jpg);""></a>";277;18.0;5;Kreuzberg;schoenleinstr;schoenleinstr Kreuzberg Berlin;(52.49133860000001, 13.4203843)
"<a href=""/wg-zimmer-in-Berlin-Moabit.8100753.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/27/854ac28f1dd257083c0a8b8bc379cda5027dd0c858b628afadae4fedf4fdec48_1.small.jpg);""></a>";500;20.0;3;Moabit;Alt-Moabit86B;Alt-Moabit86B Moabit Berlin;(52.525338, 13.3420738)
"<a href=""/wg-zimmer-in-Berlin-Friedrichshain.4633797.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2015/06/2bbba5ff46337970_img_20150211_144110.sized.jpg);""></a>";400;12.0;3;Friedrichshain;RigaerStrasse65;RigaerStrasse65 Friedrichshain Berlin;(52.51622, 13.46943)
"<a href=""/wg-zimmer-in-Berlin-Neukoelln.8396274.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/47/a7052726cfa5c88e368302bfc37fc2ca6feb38438d32eb112a46c4e44bbba8cf_RWVMJXQQ.small.jpeg);""></a>";620;13.0;2;Neukoelln;Lenaustrasse5;Lenaustrasse5 Neukoelln Berlin;(52.4899364, 13.4254149)
"<a href=""/wg-zimmer-in-Berlin-Schoeneberg.8396334.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/47/02d190ea096dcaa6445967afdb118256221e23e2f1b366bb8dfeb768bfd83fdd_Bildschirmfoto_2020_04_23_um_11.58.46.small.png);""></a>";500;20.0;3;Schoeneberg;PotsdamerStr.115;PotsdamerStr.115 Schoeneberg Berlin;(52.4991121, 13.3629452)
"<a href=""/wg-zimmer-in-Berlin-Friedrichshain.3834402.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/26/d12f396ea9ce4d499ef62b881313d6a8220c40f302c40dd3f6d04427decb834a_Living.small.jpg);""></a>";475;12.0;3;Friedrichshain;StrassederPariserKommu...;StrassederPariserKommu... Friedrichshain Berlin;(52.5129714, 13.4372677)
"<a href=""/wg-zimmer-in-Berlin-Mitte.8098209.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/32/bd292b57452e15a653f9c0da8df8ca5d67de62d03592fb08bda459f023295f3a_IMG_5015.small.jpg);""></a>";480;16.0;2;Mitte;Alte-SchoenhauserStr.7;Alte-SchoenhauserStr.7 Mitte Berlin;(52.5274471, 13.4080733)
"<a href=""/wg-zimmer-in-Berlin-Mitte.8305671.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/47/d40f2d44b9ef8941a1e2bd2b26fbdf4e1205e63f6e17d013a6cc7ce7369aeda9_Bildschirmfoto_2020_11_26_um_18.30.49.small.png);""></a>";50;25.0;2;Mitte;Alte-SchoenhauserStr.7;Alte-SchoenhauserStr.7 Mitte Berlin;(52.5274471, 13.4080733)
"<a href=""/wg-zimmer-in-Berlin-Tiergarten.8378552.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/45/2a0f4124a18c0fb0c646795869ce1f13c6d01aff1cf23a86b3b2d00131c18dbf_Wohnzimmer.small.JPG);""></a>";480;17.0;2;Tiergarten;FlensburgerStrasse;FlensburgerStrasse Tiergarten Berlin;(52.52043459999999, 13.3440717)
"<a href=""/wg-zimmer-in-Berlin-Neukoelln.8395934.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/47/aedfeeffe09db807c0a6d3b2be1a655124b10b4de3bcf4c25b57334dfc02cafd_DSC_1861.small.JPG);""></a>";460;30.0;3;Neukoelln;0;00 Neukoelln Berlin;(33.0925511, -96.8135002)
"<a href=""/wg-zimmer-in-Berlin-Oberschoeneweide.8365868.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/44/9c66a02cb23f00883fc8b02fa88993181a4d961e6a9c4231d7142304f64e53f1_160478152983683655540.small.JPEG);""></a>";400;16.0;2;Oberschoeneweide;Schillerpromenade4;Schillerpromenade4 Oberschoeneweide Berlin;(52.477961, 13.4212382)
"<a href=""/wg-zimmer-in-Berlin-Mitte.8106803.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/27/23070fc7acd4a7b8064ac8c1876c24ba0c99fb7741ff1793b7e1fa1f6e4e610c_IMG_20200709_183058.small.jpg);""></a>";550;14.0;2;Mitte;ChorinerStrasse74a;ChorinerStrasse74a Mitte Berlin;(52.5328546, 13.406423)
"<a href=""/wg-zimmer-in-Berlin-Kreuzberg.8025038.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/22/8f40565df94adfe87537449315c3071af0247ac7dab55e9b3c8cad8220894e5c_IMG_20191221_WA0009.small.jpg);""></a>";600;35.0;2;Kreuzberg;GorlitzerSt;GorlitzerSt Kreuzberg Berlin;(52.4972641, 13.438342)
"<a href=""/wg-zimmer-in-Berlin-Mitte.8396246.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/47/09d6fc3caf575849450ab0f66bfa22d2863594de159ef98baf9bc3708c3acabf_20190215_131108.small.jpg);""></a>";489;30.0;3;Mitte;SchulzendorferStr.25;SchulzendorferStr.25 Mitte Berlin;(52.54039, 13.37159)
"<a href=""/wg-zimmer-in-Berlin-Wilmersdorf.7197564.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2019/10/6aba42f5e23823ccd986d060bcfe864a5126609f858042cc79ba1f4e90aaf395_Keines_Zimmer.small.jpg);""></a>";450;15.0;2;Wilmersdorf;Friedenau;Friedenau Wilmersdorf Berlin;(52.4726155, 13.3327491)
"<a href=""/wg-zimmer-in-Berlin-Kreuzberg.7687655.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/01/2ab4de6c617653a91dbcf95042f326c53a0c637819ba6db95fb79d432787f874_157841825837337392171.small.JPEG);""></a>";399;20.0;3;Kreuzberg;KoepenickerStr.,159;KoepenickerStr.,159 Kreuzberg Berlin;(52.5057243, 13.4315893)
"<a href=""/wg-zimmer-in-Berlin-Johannisthal.8394905.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/47/f90298f7f699daefc93ad4612941b55719b638249761a62b3c96cccdb32d7f17_IMG_20201125_201407.small.jpg);""></a>";330;14.0;2;Johannisthal;RixdorferStrasse;RixdorferStrasse Johannisthal Berlin;(52.44614680000001, 13.4014888)
"<a href=""/wg-zimmer-in-Berlin-Wedding.7710092.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2019/47/e193dd67c550c74ec5695219a10470171379a8fc35631b1fe24fecb6af0355a1_IMG_9832.small.JPG);""></a>";600;25.0;2;Wedding;Amsterdamerstr.;Amsterdamerstr. Wedding Berlin;(50.9686946, 6.968899899999999)
